STREET,INTERSECTI,ADDRESS,LONG.,LAT.
BROAD ST,SOMERVILLE AV,N BROAD ST & W SOMERVILLE AVE,-75.14555423770,40.03526310350
GIRARD AV &,POPLAR DR,,-75.23275949520,40.05620361170
LEHIGH AV,22ND ST,W LEHIGH AVE & N 22ND ST,-75.16756842660,39.99562257950
LEHIGH AV,22ND ST,W LEHIGH AVE & N 22ND ST,-75.16756842660,39.99562257950
LEHIGH AV,20TH ST,W LEHIGH AVE & N 20TH ST,-75.16409575060,39.99517002980
LEHIGH AV,20TH ST,W LEHIGH AVE & N 20TH ST,-75.16409575060,39.99517002980
66TH AV,16TH ST,66TH AVE & N 16TH ST,-75.14476213410,40.05402350890
LEHIGH AV,17TH ST,W LEHIGH AVE & N 17TH ST,-75.15936778570,39.99452638500
ALLEGHENY AV,FRANKFORD AV,E ALLEGHENY AVE & FRANKFORD AVE,-75.11025974590,39.99295826520
ALLEGHENY AV,FRANKFORD AV,E ALLEGHENY AVE & FRANKFORD AVE,-75.11025974590,39.99295826520
ROOSEVELT BLVD,RED LION,E ROOSEVELT BLVD & RED LION RD,-75.01552888180,40.09486135020
BUSTLETON AV,RHAWN ST,BUSTLETON AVE & RHAWN ST,-75.05202317650,40.05953669360
BUSTLETON AV,COTTMAN AV,BUSTLETON AVE & COTTMAN AVE,-75.05993725280,40.04775231670
BUSTLETON AV,BOWLER ST,BUSTLETON AVE & BOWLER ST,-75.03270554200,40.09102516820
BUSTLETON AV,VERREE RD,BUSTLETON AVE & VERREE RD,-75.02630579240,40.10832580320
COTTMAN AV,FRANKFORD AV,COTTMAN AVE & FRANKFORD AVE,-75.04075351260,40.03679473280
BUSTLETON AV,TYSON AV,BUSTLETON AVE & TYSON AVE,-75.06314407790,40.04290261160
CASTOR AV,COTTMAN AV,CASTOR AVE & COTTMAN AVE,-75.06604683770,40.05118232270
ERIE AV,KENSINGTON AV,E ERIE AVE & KENSINGTON AVE,-75.09634801620,40.00585291300
CASTOR AV,MAGEE AV,CASTOR AVE & MAGEE AVE,-75.07503370480,40.04194114300
OXFORD AV,PRATT ST,OXFORD AVE & PRATT ST,-75.08493161380,40.02637792950
RISING SUN,MARTINS,RISING SUN AVE & MARTINS MILL RD,-75.09213222560,40.05317943500
RISING SUN,ADAMS,RISING SUN AVE & ADAMS AVE,-75.11001148570,40.03915034790
RISING SUN,ADAMS,RISING SUN AVE & ADAMS AVE,-75.11001148570,40.03915034790
FRANKFORD AV,RHAWN ST,FRANKFORD AVE & RHAWN ST,-75.02825703840,40.04136484290
ACADMEY RD,GRANT AV,ACADEMY RD & GRANT AVE,-75.00727005120,40.06916284290
BUSTLETON AV,LEVICK ST,BUSTLETON AVE & LEVICK ST,-75.07052400010,40.03561923370
BUSTLETON AV,COTTMAN AV,BUSTLETON AVE & COTTMAN AVE,-75.05993725280,40.04775231670
COTTMAN AV,RISING SUN,COTTMAN AVE & RISING SUN AVE,-75.08383426930,40.06147383160
ACADMEY RD,RED LION,ACADEMY RD & RED LION RD,-74.99723466810,40.08002408870
RHAWN ST,ROWLAND AV,RHAWN ST & ROWLAND AVE,-75.03154161960,40.04568229490
BUSTLETON AV,SOLLY AV,BUSTLETON AVE & SOLLY AVE,-75.05168546330,40.06314243940
BUSTLETON AV,HELLERMAN ST,BUSTLETON AVE & HELLERMAN ST,-75.06926295520,40.03681031330
RISING SUN,BENNER,RISING SUN AVE & BENNER ST,-75.09956585760,40.04605718670
ROOSEVELT BLVD,GRANT AV,E ROOSEVELT BLVD & GRANT AVE,-75.02895281920,40.08096931400
FRANKFORD AV,WELLINGTON AV,FRANKFORD AVE & WELLINGTON ST,-75.04243452260,40.03596249020
CASTOR AV,HOFFNAGLE ST,CASTOR AVE & HOFFNAGLE ST,-75.05263662280,40.06555482570
BUSTLETON AV,GLENDALE AV,BUSTLETON AVE & GLENDALE AVE,-75.05396919080,40.05493142060
RISING SUN,COMLY,RISING SUN AVE & COMLY ST,-75.10110699990,40.04503970510
TORRESDALE AV,CHELTENHAM AV,TORRESDALE AVE & E CHELTENHAM AVE,-75.06338601010,40.01552102750
COTTMAN AV,LORETTO AV,COTTMAN AVE & LORETTO AVE,-75.06772433540,40.05214658770
CHAMPLOST AV,A ST,E CHAMPLOST AVE & A ST,-75.11844514820,40.04120434610
ROOSEVELT BLVD,WOODWARD ST,E ROOSEVELT BLVD & WOODWARD ST,-75.03829933940,40.07126288690
ROOSEVELT BLVD,UNRUH AV,E ROOSEVELT BLVD & UNRUH AVE,-75.06305765070,40.03714191660
ADMEY RD,AVALON ST,ACADEMY RD & AVALON ST,-75.00089835490,40.07582679990
HUNTING PARK,L St,E HUNTING PARK AVE & L ST,-75.10221797640,40.01079014130
ROOSEVELT BLVD,BORBECK AV,E ROOSEVELT BLVD & BORBECK AVE,-75.04951011750,40.05432549640
COTTMAN AV,ROOSEVELT BLVD,COTTMAN AVE & E ROOSEVELT BLVD,-75.05464795820,40.04464634130
COTTMAN AV,HANFORD ST,COTTMAN AVE & HANFORD ST,-75.05772602900,40.04641155200
BUSTLETON AV,BLEIGH AV,BUSTLETON AVE & BLEIGH AVE,-75.05828529800,40.04968900410
BUSTLETON AV,HENDRIX ST,BUSTLETON AVE & HENDRIX ST,-75.01800541010,40.11891014170
CASTOR AV,GLENDALE AV,CASTOR AVE & GLENDALE AVE,-75.06173731250,40.05589322690
COTTMAN AV,RUPERT ST,COTTMAN AVE & RUPERT ST,-75.05638403000,40.04564091550
BUSTLETON AV,MAGEE AV,BUSTLETON AVE & MAGEE AVE,-75.06800371550,40.03806085760
BUSTLETON AV,TOMLINSON RD,BUSTLETON AVE & TOMLINSON RD,-75.02304283000,40.11299908880
VERREE RD,SUSQUEHANNA RD,VERREE RD & SUSQUEHANNA RD,-75.06846471100,40.08016550350
ROOSEVELT BLVD,HORNIG ST,E ROOSEVELT BLVD & HORNIG RD,-74.99101240720,40.11235774060
