"","start_station","end_station","volume"
"285","Independence Mall, NPS","10th & Federal",227
"286","Moyamensing & Tasker","10th & Federal",192
"287","Municipal Services Building Plaza","10th & Federal",57
"288","Parkside & Belmont, Case Building","10th & Federal",6
"289","ParkWest Town Center","10th & Federal",0
"290","Penn Treaty Park","10th & Federal",0
"291","Pennsylvania & Fairmount Perelman Building","10th & Federal",25
"292","Pennsylvania Convention Center","10th & Federal",93
"293","Philadelphia Museum of Art","10th & Federal",417
"294","Philadelphia Zoo","10th & Federal",1
"295","Point Breeze & Tasker","10th & Federal",29
"296","Race Street Pier","10th & Federal",148
"297","Ridge & Master","10th & Federal",3
"298","Rittenhouse Square","10th & Federal",64
"299","Rodin Museum","10th & Federal",46
"300","Schuylkill Banks Pergola","10th & Federal",33
"301","Spring Garden Station, BSL","10th & Federal",122
"302","Spring Garden Station, MFL","10th & Federal",18
"303","Temple University Station","10th & Federal",19
"304","The Children's Hospital of Philadelphia (CHOP)","10th & Federal",125
"305","The Children's Hospital of Philadelphia, Osler Circle","10th & Federal",42
"306","Thompson & Palmer, Adaire School","10th & Federal",37
"307","University City Station","10th & Federal",126
"308","Welcome Park, NPS","10th & Federal",114
"309","10th & Chestnut","11th & Market",236
"310","10th & Federal","11th & Market",436
"311","11th & Market","11th & Market",4248
"312","11th & Pine, Kahn Park","11th & Market",1118
"313","11th & Poplar, John F. Street Community Center","11th & Market",82
"314","11th & Reed","11th & Market",468
"315","11th & South","11th & Market",1172
"316","11th & Washington","11th & Market",620
"317","12th & Callowhill","11th & Market",956
"318","12th & Chestnut","11th & Market",552
"319","12th & Filbert","11th & Market",396
"320","12th & Normandy","11th & Market",16
"321","12th & Passyunk","11th & Market",266
"322","13th & Locust","11th & Market",638
"323","13th & Montgomery","11th & Market",96
"324","15th & Castle, DiSilvestro Playground","11th & Market",58
"325","15th & Kitty Hawk","11th & Market",0
"326","15th & Market","11th & Market",698
"327","15th & South","11th & Market",344
"328","15th & Spruce","11th & Market",484
"329","16th & Arch","11th & Market",78
"330","16th & Chestnut","11th & Market",332
"331","17th & Girard","11th & Market",30
"332","17th & Green","11th & Market",68
"333","17th & JFK","11th & Market",68
"334","17th & Locust","11th & Market",464
"335","17th & Pine","11th & Market",286
"336","17th & Sansom","11th & Market",312
"337","17th & Spring Garden","11th & Market",150
"338","18th & Chestnut","11th & Market",140
"339","18th & Christian","11th & Market",100
"340","18th & Fernon, Aquinas Center","11th & Market",90
"341","18th & JFK","11th & Market",296
"342","18th & JFK Curbside","11th & Market",142
"343","18th & Washington, Chew Playground","11th & Market",548
"344","19th & Girard, PTTI","11th & Market",56
"345","19th & Lombard","11th & Market",238
"346","19th & Market","11th & Market",372
"347","20th & Fairmount","11th & Market",100
"348","20th & Market","11th & Market",232
"349","20th & Race","11th & Market",110
"350","20th & Sansom","11th & Market",600
"351","21st & Catharine","11th & Market",268
"352","21st & Winter, Franklin Institute","11th & Market",84
"353","22nd & Cecil B. Moore","11th & Market",60
"354","22nd & Federal","11th & Market",134
"355","23rd & Fairmount","11th & Market",172
"356","23rd & Market","11th & Market",340
"357","23rd & South","11th & Market",214
"358","24th & Cecil B. Moore, Cecil B. Moore Library","11th & Market",0
"359","24th & Race SRT","11th & Market",30
"360","24th & Sansom","11th & Market",40
"361","25th & Diamond","11th & Market",20
"362","25th & Locust","11th & Market",78
"363","27th & Girard","11th & Market",464
"364","27th & Master, Athletic Recreation Center","11th & Market",12
"365","27th & South","11th & Market",26
"366","29th & Dauphin","11th & Market",20
"367","29th & Diamond","11th & Market",0
"368","2nd & Fairmount","11th & Market",114
"369","2nd & Germantown","11th & Market",4
"370","2nd & Market","11th & Market",1394
"371","2nd & Norris","11th & Market",0
"372","2nd & Race","11th & Market",244
"373","2nd & South","11th & Market",286
"374","30th Street Station East","11th & Market",86
"375","31st & Girard","11th & Market",156
"376","32nd & Baring, Drexel Park","11th & Market",38
"377","33rd & Dauphin","11th & Market",24
"378","33rd & Diamond","11th & Market",34
"379","33rd & Market","11th & Market",178
"380","33rd & Reservoir","11th & Market",62
"381","34th & Chestnut","11th & Market",40
"382","34th & Mantua","11th & Market",80
"383","34th & Spruce","11th & Market",48
"384","36th & Sansom","11th & Market",120
"385","38th & Market","11th & Market",82
"386","38th & Powelton","11th & Market",84
"387","38th & Spruce","11th & Market",24
"388","39th & Mt. Vernon, Mantua Haverford Community Center","11th & Market",16
"389","3rd & Girard","11th & Market",164
"390","40th & Baltimore, Trolley Portal","11th & Market",10
"391","40th & Spruce","11th & Market",78
"392","40th Street Station, MFL","11th & Market",22
"393","42nd & Lancaster","11th & Market",34
"394","43rd & Chester, Clark Park","11th & Market",32
"395","44th & Walnut","11th & Market",22
"396","45th & Baltimore","11th & Market",40
"397","46th Street Station, MFL","11th & Market",66
"398","48th & Spruce","11th & Market",22
"399","4th & Bainbridge","11th & Market",670
"400","4th & Christian","11th & Market",500
"401","4th & Walnut, NPS","11th & Market",400
"402","4th & Washington","11th & Market",68
"403","6th & Berks","11th & Market",42
"404","6th & Fairmount","11th & Market",162
"405","6th & Race","11th & Market",166
"406","7th & Fitzwater","11th & Market",354
"407","8th & Market","11th & Market",644
"408","8th & Mifflin, Bok Building","11th & Market",282
"409","9th & Arch","11th & Market",352
"410","9th & Locust","11th & Market",302
"411","9th & Spring Garden","11th & Market",350
"412","Amtrak 30th Street Station","11th & Market",168
"413","Barnes Foundation","11th & Market",138
"414","Berks Station, MFL","11th & Market",58
"415","Broad & Carpenter","11th & Market",32
"416","Broad & Cecil B Moore","11th & Market",4
"417","Broad & Christian","11th & Market",342
"418","Broad & Diamond","11th & Market",66
"419","Broad & Federal","11th & Market",318
"420","Broad & Girard","11th & Market",178
"421","Broad & Oxford","11th & Market",118
"422","Broad & Passyunk","11th & Market",134
"423","Broad & Pattison, BSL","11th & Market",10
"424","Broad & Ritner","11th & Market",546
"425","Corinthian & Poplar","11th & Market",12
"426","Crescent Park","11th & Market",0
"427","Darien & Catharine","11th & Market",340
"428","Del. River Trail & Penn St.","11th & Market",44
"429","Dornsife Center","11th & Market",40
"430","Fairmount & Ridge","11th & Market",192
"431","Foglietta Plaza","11th & Market",260
"432","Frankford & Belgrade","11th & Market",76
"433","Free Library of Philadelphia - Central Library","11th & Market",134
"434","Front & Carpenter","11th & Market",94
"435","Girard & Hutchinson","11th & Market",76
"436","Girard Station, MFL","11th & Market",102
"437","Grays Ferry & Pemberton","11th & Market",120
"438","Health Sciences Drive","11th & Market",12
"439","Independence Mall, NPS","11th & Market",920
"440","Moyamensing & Tasker","11th & Market",214
"441","Municipal Services Building Plaza","11th & Market",226
"442","Parkside & Belmont, Case Building","11th & Market",22
"443","ParkWest Town Center","11th & Market",66
"444","Penn Treaty Park","11th & Market",0
"445","Pennsylvania & Fairmount Perelman Building","11th & Market",134
"446","Pennsylvania Convention Center","11th & Market",246
"447","Philadelphia Museum of Art","11th & Market",1272
"448","Philadelphia Zoo","11th & Market",10
"449","Point Breeze & Tasker","11th & Market",112
"450","Race Street Pier","11th & Market",280
"451","Ridge & Master","11th & Market",56
"452","Rittenhouse Square","11th & Market",0
"453","Rodin Museum","11th & Market",226
"454","Schuylkill Banks Pergola","11th & Market",38
"455","Spring Garden Station, BSL","11th & Market",836
"456","Spring Garden Station, MFL","11th & Market",94
"457","Temple University Station","11th & Market",84
"458","The Children's Hospital of Philadelphia (CHOP)","11th & Market",74
"459","The Children's Hospital of Philadelphia, Osler Circle","11th & Market",16
"460","Thompson & Palmer, Adaire School","11th & Market",60
"461","University City Station","11th & Market",50
"462","Welcome Park, NPS","11th & Market",160
"463","10th & Chestnut","11th & Pine, Kahn Park",183
"464","10th & Federal","11th & Pine, Kahn Park",491
"465","11th & Market","11th & Pine, Kahn Park",702
"466","11th & Pine, Kahn Park","11th & Pine, Kahn Park",2140
"467","11th & Poplar, John F. Street Community Center","11th & Pine, Kahn Park",8
"468","11th & Reed","11th & Pine, Kahn Park",826
"469","11th & South","11th & Pine, Kahn Park",608
"470","11th & Washington","11th & Pine, Kahn Park",759
"471","12th & Callowhill","11th & Pine, Kahn Park",185
"472","12th & Chestnut","11th & Pine, Kahn Park",613
"473","12th & Filbert","11th & Pine, Kahn Park",344
"474","12th & Normandy","11th & Pine, Kahn Park",3
"475","12th & Passyunk","11th & Pine, Kahn Park",273
"476","13th & Locust","11th & Pine, Kahn Park",923
"477","13th & Montgomery","11th & Pine, Kahn Park",82
"478","15th & Castle, DiSilvestro Playground","11th & Pine, Kahn Park",72
"479","15th & Kitty Hawk","11th & Pine, Kahn Park",4
"480","15th & Market","11th & Pine, Kahn Park",292
"481","15th & South","11th & Pine, Kahn Park",512
"482","15th & Spruce","11th & Pine, Kahn Park",1044
"483","16th & Arch","11th & Pine, Kahn Park",25
"484","16th & Chestnut","11th & Pine, Kahn Park",132
"485","17th & Girard","11th & Pine, Kahn Park",10
"486","17th & Green","11th & Pine, Kahn Park",18
"487","17th & JFK","11th & Pine, Kahn Park",29
"488","17th & Locust","11th & Pine, Kahn Park",870
"489","17th & Pine","11th & Pine, Kahn Park",786
"490","17th & Sansom","11th & Pine, Kahn Park",282
"491","17th & Spring Garden","11th & Pine, Kahn Park",71
"492","18th & Chestnut","11th & Pine, Kahn Park",82
"493","18th & Christian","11th & Pine, Kahn Park",133
"494","18th & Fernon, Aquinas Center","11th & Pine, Kahn Park",155
"495","18th & JFK","11th & Pine, Kahn Park",713
"496","18th & JFK Curbside","11th & Pine, Kahn Park",182
"497","18th & Washington, Chew Playground","11th & Pine, Kahn Park",257
"498","19th & Girard, PTTI","11th & Pine, Kahn Park",38
"499","19th & Lombard","11th & Pine, Kahn Park",745
"500","19th & Market","11th & Pine, Kahn Park",231
"501","20th & Fairmount","11th & Pine, Kahn Park",94
"502","20th & Market","11th & Pine, Kahn Park",352
"503","20th & Race","11th & Pine, Kahn Park",43
"504","20th & Sansom","11th & Pine, Kahn Park",870
"505","21st & Catharine","11th & Pine, Kahn Park",574
"506","21st & Winter, Franklin Institute","11th & Pine, Kahn Park",37
"507","22nd & Cecil B. Moore","11th & Pine, Kahn Park",3
"508","22nd & Federal","11th & Pine, Kahn Park",215
"509","23rd & Fairmount","11th & Pine, Kahn Park",92
"510","23rd & Market","11th & Pine, Kahn Park",233
"511","23rd & South","11th & Pine, Kahn Park",731
"512","24th & Cecil B. Moore, Cecil B. Moore Library","11th & Pine, Kahn Park",0
"513","24th & Race SRT","11th & Pine, Kahn Park",84
"514","24th & Sansom","11th & Pine, Kahn Park",226
"515","25th & Diamond","11th & Pine, Kahn Park",1
"516","25th & Locust","11th & Pine, Kahn Park",598
"517","27th & Girard","11th & Pine, Kahn Park",122
"518","27th & Master, Athletic Recreation Center","11th & Pine, Kahn Park",2
"519","27th & South","11th & Pine, Kahn Park",267
"520","29th & Dauphin","11th & Pine, Kahn Park",2
"521","29th & Diamond","11th & Pine, Kahn Park",0
"522","2nd & Fairmount","11th & Pine, Kahn Park",60
"523","2nd & Germantown","11th & Pine, Kahn Park",5
"524","2nd & Market","11th & Pine, Kahn Park",341
"525","2nd & Norris","11th & Pine, Kahn Park",0
"526","2nd & Race","11th & Pine, Kahn Park",155
"527","2nd & South","11th & Pine, Kahn Park",584
"528","30th Street Station East","11th & Pine, Kahn Park",186
"529","31st & Girard","11th & Pine, Kahn Park",53
"530","32nd & Baring, Drexel Park","11th & Pine, Kahn Park",78
"531","33rd & Dauphin","11th & Pine, Kahn Park",7
"532","33rd & Diamond","11th & Pine, Kahn Park",6
"533","33rd & Market","11th & Pine, Kahn Park",117
"534","33rd & Reservoir","11th & Pine, Kahn Park",10
"535","34th & Chestnut","11th & Pine, Kahn Park",10
"536","34th & Mantua","11th & Pine, Kahn Park",5
"537","34th & Spruce","11th & Pine, Kahn Park",143
"538","36th & Sansom","11th & Pine, Kahn Park",167
"539","38th & Market","11th & Pine, Kahn Park",43
"540","38th & Powelton","11th & Pine, Kahn Park",30
"541","38th & Spruce","11th & Pine, Kahn Park",61
"542","39th & Mt. Vernon, Mantua Haverford Community Center","11th & Pine, Kahn Park",2
"543","3rd & Girard","11th & Pine, Kahn Park",73
"544","40th & Baltimore, Trolley Portal","11th & Pine, Kahn Park",24
"545","40th & Spruce","11th & Pine, Kahn Park",95
"546","40th Street Station, MFL","11th & Pine, Kahn Park",14
"547","42nd & Lancaster","11th & Pine, Kahn Park",7
"548","43rd & Chester, Clark Park","11th & Pine, Kahn Park",82
"549","44th & Walnut","11th & Pine, Kahn Park",95
"550","45th & Baltimore","11th & Pine, Kahn Park",63
"551","46th Street Station, MFL","11th & Pine, Kahn Park",42
"552","48th & Spruce","11th & Pine, Kahn Park",55
"553","4th & Bainbridge","11th & Pine, Kahn Park",521
"554","4th & Christian","11th & Pine, Kahn Park",175
"555","4th & Walnut, NPS","11th & Pine, Kahn Park",467
"556","4th & Washington","11th & Pine, Kahn Park",156
"557","6th & Berks","11th & Pine, Kahn Park",11
"558","6th & Fairmount","11th & Pine, Kahn Park",39
"559","6th & Race","11th & Pine, Kahn Park",109
"560","7th & Fitzwater","11th & Pine, Kahn Park",237
"561","8th & Market","11th & Pine, Kahn Park",191
"562","8th & Mifflin, Bok Building","11th & Pine, Kahn Park",195
"563","9th & Arch","11th & Pine, Kahn Park",284
"564","9th & Locust","11th & Pine, Kahn Park",324
"565","9th & Spring Garden","11th & Pine, Kahn Park",38
"566","Amtrak 30th Street Station","11th & Pine, Kahn Park",177
"567","Barnes Foundation","11th & Pine, Kahn Park",80
"568","Berks Station, MFL","11th & Pine, Kahn Park",19
"569","Broad & Carpenter","11th & Pine, Kahn Park",18
"570","Broad & Cecil B Moore","11th & Pine, Kahn Park",3
"571","Broad & Christian","11th & Pine, Kahn Park",471
"572","Broad & Diamond","11th & Pine, Kahn Park",15
"573","Broad & Federal","11th & Pine, Kahn Park",436
"574","Broad & Girard","11th & Pine, Kahn Park",20
"575","Broad & Oxford","11th & Pine, Kahn Park",67
"576","Broad & Passyunk","11th & Pine, Kahn Park",168
